geo_state,species,flower_size,rel_pore_size,stamen_dim,herkogamy
AF,budlejoides,5.26,0.159203980099503,0.0760869565217392,-4.32
AF,capixaba,3.45,0.0865384615384615,0.168367346938776,-1.79
AF,castaneiflora,3.245,0.191797060218113,0.0193366708385483,-3.1
AF,cinerascens,5.585,0.108224405293497,0.156648258283772,-3.34
AF,fasciculata,5.52,0.102919600938967,0.213971502883637,-2.665
AF,formosa,6.445,0.159500881595009,0.257740956959707,-3.985
AF,lymanii,4.385,0.122525957170668,0.127937625412373,-3.26
AF,petroniana,4.74,0.143617021276596,0.030054644808743,-3.34
AF,polyandra,7.535,0.11051859996335,0.25,-2.495
AF,racemifera,5.76,0.13,0.0716332378223496,-2.83
AF,shepherdii,4.65,0.0912863070539419,0.155210643015521,-4.52
AF,valtheri,7.28,0.0739713955238952,0.224028359101392,-3.005
AF,willdenowii,4.82,0.182508710801394,0.0616540315663909,-3.33
other,albicans,5.94,0.101243015628796,0.321213511498537,-3.47
other,alborufescens,5.135,0.0994286450726007,0.180086699870873,-3.49
other,amnicola,7.72,0.093931769165414,0.232565772989226,-3.115
other,argyrophylla,6,0.0952380952380952,0.3984375,-1.63
other,burchellii,5.75,0.0763358778625954,0.181818181818182,-3.48
other,chrysophylla,3.68,0.426829268292683,0.36101083032491,-2.08
other,cipoensis,5.51,0.0993843857849081,0.320857175124228,-2.125
other,corallina,3.88,0.136752136752137,0.0707395498392282,-3.76
other,cowanii,5.835,0.0741454020221473,0.238425925925926,-2.905
other,cubatanensis,5.99,0.171718088324259,0.0767840536225019,-1.845
other,cyathanthera,4.495,0.171990171990172,0.240731378496798,-1.045
other,dichrophylla,4.47,0.120253164556962,0.149532710280374,-2.34
other,discolor,5.74,0.053125,0.191829484902309,-4.35
other,dispar,7.35,0.0564105261575918,0.192344149440365,-3.245
other,fallax,10.015,0.0644552456138571,0.244710492374642,-2.575
other,ferruginata,7.31,0.0497619342072718,0.19581571028765,-4.42
other,flammea,4.96,0.1347750109218,0.0741731682496607,-4.985
other,heliotropoides,7.795,0.0503976198420643,0.242433900980481,-2.185
other,hyemalis,4.59,0.152800324675325,0.309463562753036,-3.165
other,hypoleuca,5.21,0.572649572649573,0.249221183800623,-1.52
other,lepidota,6.905,0.0780428300352399,0.331354281218981,-2.69
other,longispicata,7.02,0.0583333333333333,0.340322580645162,-3.2
other,lourteigiana,6.46,0.0576923076923077,0.241279069767442,-2.53
other,macrothyrsa,8.575,0.054245217148443,0.364129695211606,-3.2
other,macuxi,8.08,0.046875,0.262172284644195,-1.45
other,mayarae,5.7,0.0611353711790393,0.481283422459893,-2.34
other,multispicata,8.06,0.085972850678733,0.38031914893617,-2.01
other,navioensis,3.3,0.156028368794326,0.0595238095238095,-2.5
other,pepericarpa,3.045,0.180499367888748,0.161988168425937,-2.605
other,pterocaulon,6.99,0.0600858369098713,0.258134490238612,-2.64
other,punctata,3.74,0.172619047619048,0.073529411764706,-3.49
other,rufescens,9.52,0.0588587109484942,0.209722063968919,-2.805
other,ruficalyx,8.3,0.0684393160249174,0.362146428326827,-2.035
other,sclerophylla,3.86,0.148148148148148,-0.0292553191489363,-4.28
other,secundiflora,8.79,0.073394495412844,0.324596774193548,-2.32
other,serialis,7.16,0.1,0.366504854368932,-2.35
other,stenostachya,8.31,0.0505836575875486,0.321503131524008,-3.49
other,tiliifolia,11.09,0.0476190476190476,0.161016949152542,-2.33
